ANT1,9.90,15.00,89.60,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,6.30,6.40,180.00,12pF,NORDIC_NRF_3_RESC0201_N
C1-EP-DR,-9.10,-1.50,270.00,10uF,NORDIC_NRF_3_RESC0402_N
C10,3.10,4.10,180.00,N.C.,NORDIC_NRF_3_RESC0402_N
C11,2.90,3.20,180.00,100pF,NORDIC_NRF_3_RESC0201_N
C12,2.90,2.40,180.00,100nF,NORDIC_NRF_3_RESC0201_N
C13,2.90,1.60,180.00,N.C.,NORDIC_NRF_3_RESC0201_N
C14,2.13,-3.37,180.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C15,2.80,-0.20,180.70,1.0uF,NORDIC_NRF_3_RESC0402_N
C16,2.90,0.80,180.00,100nF,NORDIC_NRF_3_RESC0201_N
C17,3.70,-5.40,90.00,12pF,NORDIC_NRF_3_RESC0201_N
C18,3.50,-8.30,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C19,8.40,-7.40,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C2,4.90,6.40,0.00,12pF,NORDIC_NRF_3_RESC0201_N
C2-EP-DR,-3.50,-5.40,180.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_N
C20,14.40,-5.70,270.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C21,16.40,-1.60,0.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C22,8.10,10.30,180.00,N.C.,NORDIC_NRF_3_RESC0201_N
C23,18.14,-3.92,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,16.94,-4.13,270.00,10uF,NORDIC_NRF_3_RESC0402_N
C25,18.40,-9.00,270.00,22uF,NORDIC_NRF_3_RESC0402_N
C27,-17.80,11.60,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-14.30,-14.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,7.70,6.40,0.00,1pF,NORDIC_NRF_3_RESC0201_N
C30,-4.70,-15.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,9.00,-12.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-11.60,14.70,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,19.50,-9.00,270.00,22uF,NORDIC_NRF_3_RESC0402_N
C34,-11.30,11.30,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,10.70,-10.60,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,13.80,-9.20,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,12.10,-11.30,270.00,10uF,NORDIC_NRF_3_RESC0402_N
C4,8.10,9.40,180.00,1pF,NORDIC_NRF_3_RESC0201_N
C42,-3.90,6.10,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-3.00,6.50,270.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C5,4.70,-4.10,180.00,100nF,NORDIC_NRF_3_RESC0201_N
C6,13.30,-5.70,270.00,4.7uF,NORDIC_NRF_3_RESC0402_N
C7,16.80,2.20,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C8,17.50,3.70,270.00,100nF,NORDIC_NRF_3_RESC0201_N
C9,9.10,6.40,180.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_N
